Apoptosis_Duration,Apoptosis_Leak_Rate,Replicate,Strain,Alive_Cells,Total_Cells,Survivability_Pct,Total_Live_Biomass
0.5,0.1,1,PCD+,0,3812,0.0,0.0
0.5,0.1,1,PCD-,0,5011,0.0,0.0
0.5,0.1,2,PCD+,0,3893,0.0,0.0
0.5,0.1,2,PCD-,0,5016,0.0,0.0
0.5,0.1,3,PCD+,0,3846,0.0,0.0
0.5,0.1,3,PCD-,0,5071,0.0,0.0
0.5,0.1,4,PCD+,0,3923,0.0,0.0
0.5,0.1,4,PCD-,0,5110,0.0,0.0
0.5,0.1,5,PCD+,0,3883,0.0,0.0
0.5,0.1,5,PCD-,0,5042,0.0,0.0
0.5,0.1,6,PCD+,0,3883,0.0,0.0
0.5,0.1,6,PCD-,0,5064,0.0,0.0
0.5,0.1,7,PCD+,0,3815,0.0,0.0
0.5,0.1,7,PCD-,0,5096,0.0,0.0
0.5,0.1,8,PCD+,0,3794,0.0,0.0
0.5,0.1,8,PCD-,0,5232,0.0,0.0
0.5,0.1,9,PCD+,0,3788,0.0,0.0
0.5,0.1,9,PCD-,0,4983,0.0,0.0
0.5,0.1,10,PCD+,0,3873,0.0,0.0
0.5,0.1,10,PCD-,0,5087,0.0,0.0
0.5,0.5,1,PCD+,0,3936,0.0,0.0
0.5,0.5,1,PCD-,0,5079,0.0,0.0
0.5,0.5,2,PCD+,0,3872,0.0,0.0
0.5,0.5,2,PCD-,0,5144,0.0,0.0
0.5,0.5,3,PCD+,0,3755,0.0,0.0
0.5,0.5,3,PCD-,0,5182,0.0,0.0
0.5,0.5,4,PCD+,0,3926,0.0,0.0
0.5,0.5,4,PCD-,0,5076,0.0,0.0
0.5,0.5,5,PCD+,0,3862,0.0,0.0
0.5,0.5,5,PCD-,0,5076,0.0,0.0
0.5,0.5,6,PCD+,0,3731,0.0,0.0
0.5,0.5,6,PCD-,0,5107,0.0,0.0
0.5,0.5,7,PCD+,0,3768,0.0,0.0
0.5,0.5,7,PCD-,0,5160,0.0,0.0
0.5,0.5,8,PCD+,0,3854,0.0,0.0
0.5,0.5,8,PCD-,0,4936,0.0,0.0
0.5,0.5,9,PCD+,0,3790,0.0,0.0
0.5,0.5,9,PCD-,0,5116,0.0,0.0
0.5,0.5,10,PCD+,0,3956,0.0,0.0
0.5,0.5,10,PCD-,0,5180,0.0,0.0
0.5,0.9,1,PCD+,0,3913,0.0,0.0
0.5,0.9,1,PCD-,0,4899,0.0,0.0
0.5,0.9,2,PCD+,0,3777,0.0,0.0
0.5,0.9,2,PCD-,0,5196,0.0,0.0
0.5,0.9,3,PCD+,0,3815,0.0,0.0
0.5,0.9,3,PCD-,0,5125,0.0,0.0
0.5,0.9,4,PCD+,0,3737,0.0,0.0
0.5,0.9,4,PCD-,0,5198,0.0,0.0
0.5,0.9,5,PCD+,0,3780,0.0,0.0
0.5,0.9,5,PCD-,0,5040,0.0,0.0
0.5,0.9,6,PCD+,0,3904,0.0,0.0
0.5,0.9,6,PCD-,0,4919,0.0,0.0
0.5,0.9,7,PCD+,0,3783,0.0,0.0
0.5,0.9,7,PCD-,0,5107,0.0,0.0
0.5,0.9,8,PCD+,0,3840,0.0,0.0
0.5,0.9,8,PCD-,0,5007,0.0,0.0
0.5,0.9,9,PCD+,0,3919,0.0,0.0
0.5,0.9,9,PCD-,0,5103,0.0,0.0
0.5,0.9,10,PCD+,0,3884,0.0,0.0
0.5,0.9,10,PCD-,0,5053,0.0,0.0
2.0,0.1,1,PCD+,0,3744,0.0,0.0
2.0,0.1,1,PCD-,0,5098,0.0,0.0
2.0,0.1,2,PCD+,0,3841,0.0,0.0
2.0,0.1,2,PCD-,0,4931,0.0,0.0
2.0,0.1,3,PCD+,0,3814,0.0,0.0
2.0,0.1,3,PCD-,0,4981,0.0,0.0
2.0,0.1,4,PCD+,0,3792,0.0,0.0
2.0,0.1,4,PCD-,0,5060,0.0,0.0
2.0,0.1,5,PCD+,0,3676,0.0,0.0
2.0,0.1,5,PCD-,0,5144,0.0,0.0
2.0,0.1,6,PCD+,0,3907,0.0,0.0
2.0,0.1,6,PCD-,0,5153,0.0,0.0
2.0,0.1,7,PCD+,0,3708,0.0,0.0
2.0,0.1,7,PCD-,0,4761,0.0,0.0
2.0,0.1,8,PCD+,0,3736,0.0,0.0
2.0,0.1,8,PCD-,0,4845,0.0,0.0
2.0,0.1,9,PCD+,0,3733,0.0,0.0
2.0,0.1,9,PCD-,0,5100,0.0,0.0
2.0,0.1,10,PCD+,0,3919,0.0,0.0
2.0,0.1,10,PCD-,0,5084,0.0,0.0
2.0,0.5,1,PCD+,0,3646,0.0,0.0
2.0,0.5,1,PCD-,0,4999,0.0,0.0
2.0,0.5,2,PCD+,0,3867,0.0,0.0
2.0,0.5,2,PCD-,0,5165,0.0,0.0
2.0,0.5,3,PCD+,0,3524,0.0,0.0
2.0,0.5,3,PCD-,0,4744,0.0,0.0
2.0,0.5,4,PCD+,0,3800,0.0,0.0
2.0,0.5,4,PCD-,0,5104,0.0,0.0
2.0,0.5,5,PCD+,0,3886,0.0,0.0
2.0,0.5,5,PCD-,0,5061,0.0,0.0
2.0,0.5,6,PCD+,0,3819,0.0,0.0
2.0,0.5,6,PCD-,0,5116,0.0,0.0
2.0,0.5,7,PCD+,0,3772,0.0,0.0
2.0,0.5,7,PCD-,0,5116,0.0,0.0
2.0,0.5,8,PCD+,0,3932,0.0,0.0
2.0,0.5,8,PCD-,0,5144,0.0,0.0
2.0,0.5,9,PCD+,0,3475,0.0,0.0
2.0,0.5,9,PCD-,0,5094,0.0,0.0
2.0,0.5,10,PCD+,0,3895,0.0,0.0
2.0,0.5,10,PCD-,0,4532,0.0,0.0
2.0,0.9,1,PCD+,0,3841,0.0,0.0
2.0,0.9,1,PCD-,0,5118,0.0,0.0
2.0,0.9,2,PCD+,0,3858,0.0,0.0
2.0,0.9,2,PCD-,0,5071,0.0,0.0
2.0,0.9,3,PCD+,0,3507,0.0,0.0
2.0,0.9,3,PCD-,0,5146,0.0,0.0
2.0,0.9,4,PCD+,0,3802,0.0,0.0
2.0,0.9,4,PCD-,0,5160,0.0,0.0
2.0,0.9,5,PCD+,0,3780,0.0,0.0
2.0,0.9,5,PCD-,0,5022,0.0,0.0
2.0,0.9,6,PCD+,0,3458,0.0,0.0
2.0,0.9,6,PCD-,0,4809,0.0,0.0
2.0,0.9,7,PCD+,0,3843,0.0,0.0
2.0,0.9,7,PCD-,0,5070,0.0,0.0
2.0,0.9,8,PCD+,0,3870,0.0,0.0
2.0,0.9,8,PCD-,0,5058,0.0,0.0
2.0,0.9,9,PCD+,0,3483,0.0,0.0
2.0,0.9,9,PCD-,0,5212,0.0,0.0
2.0,0.9,10,PCD+,0,3836,0.0,0.0
2.0,0.9,10,PCD-,0,4998,0.0,0.0
4.0,0.1,1,PCD+,0,3625,0.0,0.0
4.0,0.1,1,PCD-,0,5120,0.0,0.0
4.0,0.1,2,PCD+,0,3849,0.0,0.0
4.0,0.1,2,PCD-,0,5110,0.0,0.0
4.0,0.1,3,PCD+,0,3895,0.0,0.0
4.0,0.1,3,PCD-,0,5127,0.0,0.0
4.0,0.1,4,PCD+,0,3812,0.0,0.0
4.0,0.1,4,PCD-,0,5122,0.0,0.0
4.0,0.1,5,PCD+,0,3909,0.0,0.0
4.0,0.1,5,PCD-,0,5197,0.0,0.0
4.0,0.1,6,PCD+,0,3464,0.0,0.0
4.0,0.1,6,PCD-,0,5022,0.0,0.0
4.0,0.1,7,PCD+,0,3862,0.0,0.0
4.0,0.1,7,PCD-,0,5109,0.0,0.0
